Timestamp,Event,Value,Predicted_Crash
2026-08-15 14:08:59,Live Multiplier,16.85,
2026-08-15 14:08:59,Live Multiplier,16.85,
2026-08-15 14:08:59,Live Multiplier,16.85,
2026-08-15 14:08:59,Live Multiplier,17,
2026-08-15 14:08:59,Live Multiplier,17,
2026-08-15 14:08:59,Live Multiplier,17,
2026-08-15 14:08:59,Live Multiplier,17.15,
2026-08-15 14:08:59,Live Multiplier,17.15,
2026-08-15 14:08:59,Live Multiplier,17.15,
2026-08-15 14:08:59,Live Multiplier,17.3,
2026-08-15 14:08:59,Live Multiplier,17.3,
2026-08-15 14:08:59,Live Multiplier,17.3,
2026-08-15 14:09:00,Live Multiplier,17.45,
2026-08-15 14:09:00,Live Multiplier,17.45,
2026-08-15 14:09:00,Live Multiplier,17.45,
2026-08-15 14:09:00,Live Multiplier,17.6,
2026-08-15 14:09:00,Live Multiplier,17.6,
2026-08-15 14:09:00,Live Multiplier,17.6,
2026-08-15 14:09:00,Live Multiplier,17.75,
2026-08-15 14:09:00,Live Multiplier,17.75,
2026-08-15 14:09:00,Live Multiplier,17.75,
2026-08-15 14:09:00,Live Multiplier,17.91,
2026-08-15 14:09:00,Live Multiplier,17.91,
2026-08-15 14:09:00,Live Multiplier,17.91,
2026-08-15 14:09:00,Live Multiplier,18.06,
2026-08-15 14:09:00,Live Multiplier,18.06,
2026-08-15 14:09:00,Live Multiplier,18.06,
2026-08-15 14:09:00,Live Multiplier,18.22,
2026-08-15 14:09:00,Live Multiplier,18.22,
2026-08-15 14:09:00,Live Multiplier,18.22,
2026-08-15 14:09:00,Live Multiplier,18.38,
2026-08-15 14:09:00,Live Multiplier,18.38,
2026-08-15 14:09:00,Live Multiplier,18.38,
2026-08-15 14:09:00,Live Multiplier,18.54,
2026-08-15 14:09:00,Live Multiplier,18.54,
2026-08-15 14:09:00,Live Multiplier,18.54,
2026-08-15 14:09:00,Live Multiplier,18.7,
2026-08-15 14:09:00,Live Multiplier,18.7,
2026-08-15 14:09:00,Live Multiplier,18.7,
2026-08-15 14:09:00,Live Multiplier,18.86,
2026-08-15 14:09:00,Live Multiplier,18.86,
2026-08-15 14:09:00,Live Multiplier,18.86,
2026-08-15 14:09:01,Live Multiplier,19.03,
2026-08-15 14:09:01,Live Multiplier,19.03,
2026-08-15 14:09:01,Live Multiplier,19.03,
2026-08-15 14:09:01,Live Multiplier,19.19,
2026-08-15 14:09:01,Live Multiplier,19.19,
2026-08-15 14:09:01,Live Multiplier,19.19,
2026-08-15 14:09:01,Live Multiplier,19.36,
2026-08-15 14:09:01,Live Multiplier,19.36,
2026-08-15 14:09:01,Live Multiplier,19.36,
2026-08-15 14:09:01,Live Multiplier,19.53,
2026-08-15 14:09:01,Live Multiplier,19.53,
2026-08-15 14:09:01,Live Multiplier,19.53,
2026-08-15 14:09:01,Live Multiplier,19.7,
2026-08-15 14:09:01,Live Multiplier,19.7,
2026-08-15 14:09:01,Live Multiplier,19.7,
2026-08-15 14:09:01,Live Multiplier,19.87,
2026-08-15 14:09:01,Live Multiplier,19.87,
2026-08-15 14:09:01,Live Multiplier,19.87,
2026-08-15 14:09:01,Live Multiplier,20.04,
2026-08-15 14:09:01,Live Multiplier,20.04,
2026-08-15 14:09:01,Live Multiplier,20.04,
2026-08-15 14:09:01,Live Multiplier,20.22,
2026-08-15 14:09:01,Live Multiplier,20.22,
2026-08-15 14:09:01,Live Multiplier,20.22,
2026-08-15 14:09:01,Live Multiplier,20.39,
2026-08-15 14:09:01,Live Multiplier,20.39,
2026-08-15 14:09:01,Live Multiplier,20.39,
2026-08-15 14:09:01,Live Multiplier,20.57,
2026-08-15 14:09:01,Live Multiplier,20.57,
2026-08-15 14:09:02,Live Multiplier,20.57,
2026-08-15 14:09:02,Live Multiplier,20.75,
2026-08-15 14:09:02,Live Multiplier,20.75,
2026-08-15 14:09:02,Live Multiplier,20.75,
2026-08-15 14:09:02,Live Multiplier,20.93,
2026-08-15 14:09:02,Live Multiplier,20.93,
2026-08-15 14:09:02,Live Multiplier,20.93,
2026-08-15 14:09:02,Live Multiplier,21.11,
2026-08-15 14:09:02,Live Multiplier,21.11,
2026-08-15 14:09:02,Live Multiplier,21.11,
2026-08-15 14:09:02,Live Multiplier,21.29,
2026-08-15 14:09:02,Live Multiplier,21.29,
2026-08-15 14:09:02,Live Multiplier,21.29,
2026-08-15 14:09:02,Live Multiplier,21.48,
2026-08-15 14:09:02,Live Multiplier,21.48,
2026-08-15 14:09:02,Live Multiplier,21.48,
2026-08-15 14:09:02,Live Multiplier,21.67,
2026-08-15 14:09:02,Live Multiplier,21.67,
2026-08-15 14:09:02,Live Multiplier,21.67,
